ordobs,a,b,tolerance,noise
1,0,1.5,0.3,0.3
1,0,1.5,0.3,0.3
1,0,1.5,0.3,0.3
1,0,1.5,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
1,0,1.75,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-2,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.75,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.5,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1.25,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-1,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.75,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
2,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
2,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
2,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
2,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
2,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.5,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
2,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
2,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
2,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
2,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
2,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
2,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
2,0.25,-0.25,0.3,0.3
2,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
2,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
3,0.25,-0.25,0.3,0.3
2,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
1,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
3,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
2,0.25,0,0.3,0.3
1,0.25,0.25,0.3,0.3
3,0.25,0.25,0.3,0.3
1,0.25,0.25,0.3,0.3
1,0.25,0.25,0.3,0.3
3,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
1,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
1,0.25,0.25,0.3,0.3
3,0.25,0.25,0.3,0.3
3,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
3,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
3,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
3,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
1,0.25,0.25,0.3,0.3
1,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
3,0.25,0.25,0.3,0.3
1,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
1,0.25,0.25,0.3,0.3
1,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
3,0.25,0.25,0.3,0.3
3,0.25,0.25,0.3,0.3
3,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
3,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
2,0.25,0.25,0.3,0.3
1,0.25,0.25,0.3,0.3
1,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
3,0.25,0.5,0.3,0.3
3,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
3,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
2,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
1,0.25,0.5,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
2,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,0.75,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
2,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
2,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.25,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
1,0.25,1.5,0.3,0.3
